ID,TARGET
2,0.65125
5,0.905
6,0.035
7,0.8525
9,0.15375
11,0.99875
12,0.025
15,0.99875
16,0.375
17,0.0775
19,0.955
21,0.15125
22,0.1
24,0.865
27,0.1425
28,0.01625
30,0.2175
33,0.345
35,0.9225
37,0.105
38,0.49375
40,1
41,0.9525
44,0.045
46,0.20375
47,0.05
48,0.23
50,0.74375
52,1
53,0.86125
55,0.96375
57,0.05
58,0.05875
59,0.985
62,0.56
63,0.95375
64,0.51375
65,0.6275
67,0.93875
69,0.31875
70,0.23875
71,0.00875
72,0.02875
73,0.0275
76,0.1325
78,0.01875
79,0.0575
81,0.01375
85,0.78375
86,0.345
89,0.53
94,0.94375
96,0.345
97,0.0525
98,0.22125
99,0.77875
100,1
103,0.99875
104,0.135
108,0.0275
110,0.065
112,0.5175
114,0.73125
116,0.03
117,0.03375
119,0.0275
120,0.10875
121,0.05375
123,0.065
124,1
126,0.09
128,0.4325
129,0.88625
133,0.22125
138,0.51375
147,0.9925
149,0.06875
158,0.23
160,0.92
164,0.32875
167,0.2775
168,0.495
174,0.59
181,0.0775
185,0.90375
187,0.0325
189,0.02875
190,0.3975
194,0.01375
197,0.0175
198,0.975
201,0.445
205,0.1275
208,0.33125
211,0.78625
216,0.90625
219,0.1725
223,0.0325
224,0.94
226,0.96875
229,0.36125
230,0.0775
237,0.19875
238,0.9875
240,0.3525
243,0.09125
245,0.92875
246,0.99875
247,0.03125
248,0.01625
249,0.345
250,0.9975
251,0.08375
255,0.4725
256,0.16625
257,0.3375
260,1
261,0.0075
263,0.9925
264,1
267,0.02625
268,0.04
272,0.03875
274,0.05125
275,0.20375
277,0.99875
278,0.99125
280,0.0575
281,0.05625
282,0.325
283,0.90125
284,0.09625
286,0.4225
290,0.02625
291,0.96875
293,0.98125
295,0.19375
297,0.0675
298,0.995
300,0.19375
304,0.06875
305,0.045
308,0.53375
309,0.775
310,0.02125
312,0.745
313,1
315,0.0275
317,0.2125
318,0.98875
321,0.04125
323,0.09
325,0.03875
326,0.99125
327,0.285
328,0.13375
329,0.9025
330,0.06125
331,0.04875
334,0.14
335,0.03875
336,0.56875
337,0.04625
338,0.9475
339,0.9775
341,0.10875
343,0.11875
346,0.02875
348,0.295
350,0.125
351,0.015
352,1
357,0.285
358,0.95375
360,0.03875
361,0.96375
364,0.10625
365,0.83
366,0.6875
367,0.15375
368,0.01625
370,0.37
372,0.09875
376,0.0725
377,0.1075
379,0.01
380,0.88875
381,0.09375
385,0.87125
386,0.93375
389,0.5175
391,0.83375
392,0.49625
393,0.7625
395,0.3475
396,0.71
397,0.01875
398,0.08375
399,0.52
400,0.01
401,0.02
403,0.05875
405,0.18875
406,0.92125
409,0.86375
411,0.07625
413,0.03125
418,0.06875
419,0.9525
422,1
424,0.8925
425,0.03625
427,0.345
430,0.07875
431,0.98875
434,0.99625
435,0.9475
437,0.99375
438,0.0125
439,0.99875
442,0.95375
446,0.9375
450,0.0475
451,0.96125
452,0.27625
454,0.08125
455,0.05875
463,0.89625
464,0.31375
465,0.15875
467,1
468,0.1225
470,0.165
472,0.1625
473,0.96375
475,0.02125
476,0.27125
479,0.95
481,0.0225
483,0.925
484,0.0075
486,0.86375
487,0.21625
491,0.945
494,0.855
495,0.01
497,0.11
498,0.07625
499,0.99
503,0.99625
504,0.06625
505,0.125
506,0.03125
507,0.06
508,0.99625
509,0.98375
510,0.0025
511,0.135
512,0.25125
516,0.03375
518,0.99125
519,0.0625
520,0.105
521,0.27375
522,0.0575
524,0.99625
525,0.13
526,0.26875
528,0.95
529,0.0525
531,0.84625
532,0.9975
534,0.17125
536,0.12625
539,0.34125
540,0.15875
541,0.345
542,0.99625
545,0.255
546,0.27625
552,0.075
556,0.06625
557,0.27125
559,0.10875
562,0.0475
563,0.06625
565,0.04
569,0.06
570,0.73875
574,0.1025
575,0.09375
585,0.3375
589,0.05
590,0.0725
592,0.9775
593,0.1975
594,0.015
595,0.99
597,0.00875
601,0.045
603,0.92625
604,0.0275
605,0.9625
607,0.345
608,0.0425
610,0.98125
612,0.01125
613,0.5375
615,0.01375
616,0.83625
617,0.93625
619,0.78
620,1
621,0.0725
624,0.1225
625,0.01125
628,0.6575
629,0.99625
630,0.9875
632,0.27
634,0.05625
637,0.87625
638,0.04375
642,0.735
643,0.0075
644,0.48375
646,0.07375
655,0.43375
660,0.98375
664,0.1175
665,0.87375
666,0.255
670,0.99625
671,1
672,0.04125
675,0.115
676,0.68875
677,0.99625
678,0.01375
680,0.2925
683,0.99875
684,0.99875
685,0.95875
691,0.07875
693,0.07
696,0.02125
698,0.01375
699,0.96625
700,0.13875
703,0.03
704,0.0325
705,0.2425
707,1
709,0.305
711,1
713,0.99375
716,0.2425
719,0.345
721,0.92
722,0.0475
723,0.08125
724,0.0375
727,0.09625
728,0.92125
729,0.1775
733,0.97125
736,0.03125
739,0.575
742,1
743,0.04375
744,0.0025
745,1
747,0.01375
749,0.0675
750,0.98875
751,0.1025
752,0.01125
755,0.28375
756,0.03625
762,0.11125
763,0.99125
764,0.04875
765,0.64875
766,0.89125
769,0.9375
770,0.33875
773,0.915
774,0.99
776,0.82625
777,0.93875
778,0.22125
779,0.9725
780,0.23875
781,0.05375
786,0.44625
788,0.01125
794,0.9525
796,1
801,0.10125
802,0.46875
803,0.145
804,0.27
805,0.20875
809,0.45625
810,0.99625
817,0.965
819,0.0625
821,0.97875
824,0.99875
825,0.005
826,0.99875
830,0.0225
831,0.01625
832,0.7175
833,0.0675
837,0.98375
839,0.0975
840,0.01125
841,0.905
842,0.0175
843,0.00875
844,0.2175
845,0.9375
848,0.09125
853,0.12875
854,0.06875
855,0.21625
856,0.07375
861,0.015
865,0.9925
866,0.0575
867,0.0475
870,0.03375
871,0.96625
872,0.975
873,0.97375
874,0.1475
875,0.055
876,0.05
879,0.97375
880,0.345
883,0.89625
884,0.52125
886,0.04625
890,0.27125
892,0.9175
893,0.71
894,0.42875
895,0.77
896,0.935
897,0.16625
899,0.8275
900,0.02625
901,0.0075
902,1
905,0.04
912,0.1525
914,1
915,0.175
917,0.2375
918,0.2325
919,0.8925
921,0.05
922,0.03625
923,0.015
926,0.11375
929,0.0225
930,0.87375
931,0.8825
937,0.21625
938,0.02375
939,0.1175
941,0.93
946,0.06375
947,0.01
950,0.76625
951,0.29375
952,0.9825
953,0.13875
954,0.07625
955,0.98875
956,1
957,0.445
960,0.97125
963,0.99625
