ID,TARGET
2,0.61625
5,0.8875
6,0.0175
7,0.6775
9,0.0625
11,1
12,0.05625
15,0.995
16,0.29875
17,0.06125
19,0.94625
21,0.0875
22,0.08125
24,0.66125
27,0.1175
28,0.0325
30,0.20125
33,0.09625
35,0.8675
37,0.0825
38,0.38
40,1
41,0.94125
44,0.03625
46,0.2125
47,0.01875
48,0.09625
50,0.4125
52,1
53,0.69
55,0.95625
57,0.03875
58,0.045
59,0.945
62,0.455
63,0.8125
64,0.38625
65,0.59
67,0.86625
69,0.2525
70,0.08875
71,0.025
72,0.015
73,0.025
76,0.09375
78,0.0175
79,0.04875
81,0.0175
85,0.6225
86,0.09625
89,0.50125
94,0.9625
96,0.09625
97,0.02625
98,0.0875
99,0.60625
100,0.9975
103,0.9975
104,0.1025
108,0.03125
110,0.0375
112,0.45125
114,0.71
116,0.03375
117,0.03875
119,0.0425
120,0.08
121,0.03
123,0.04
124,1
126,0.05375
128,0.2875
129,0.8675
133,0.19125
138,0.37
147,1
149,0.0875
158,0.09625
160,0.6275
164,0.30125
167,0.26625
168,0.485
174,0.47625
181,0.04625
185,0.8675
187,0.03125
189,0.03
190,0.3725
194,0.01375
197,0.0225
198,0.94375
201,0.38875
205,0.11
208,0.28875
211,0.67125
216,0.88
219,0.17875
223,0.03375
224,0.9225
226,0.93875
229,0.26875
230,0.065
237,0.145
238,0.97
240,0.2825
243,0.05375
245,0.8875
246,0.99625
247,0.035
248,0.0125
249,0.09625
250,0.99375
251,0.05375
255,0.4575
256,0.12625
257,0.4425
260,1
261,0.015
263,0.99375
264,1
267,0.02375
268,0.0425
272,0.03125
274,0.0325
275,0.09625
277,0.99875
278,0.99875
280,0.025
281,0.06
282,0.27875
283,0.78
284,0.1025
286,0.5875
290,0.025
291,0.9675
293,0.9725
295,0.1775
297,0.04
298,0.995
300,0.1325
304,0.055
305,0.0225
308,0.395
309,0.6
310,0.01375
312,0.7475
313,0.99875
315,0.01875
317,0.17875
318,0.98125
321,0.0275
323,0.08
325,0.04375
326,0.95875
327,0.26625
328,0.145
329,0.855
330,0.04875
331,0.04875
334,0.1525
335,0.04375
336,0.475
337,0.0525
338,0.9425
339,0.94375
341,0.11625
343,0.10125
346,0.02625
348,0.1
350,0.1325
351,0.0075
352,1
357,0.2775
358,0.8125
360,0.0325
361,0.91625
364,0.0775
365,0.765
366,0.5975
367,0.10875
368,0.015
370,0.16375
372,0.06625
376,0.0525
377,0.0575
379,0.02125
380,0.7475
381,0.11125
385,0.74125
386,0.9
389,0.6
391,0.81
392,0.29625
393,0.75125
395,0.295
396,0.655
397,0.02375
398,0.08375
399,0.4925
400,0.0275
401,0.02125
403,0.04875
405,0.17
406,0.87
409,0.69625
411,0.065
413,0.00875
418,0.06
419,0.925
422,1
424,0.87125
425,0.03125
427,0.09625
430,0.045
431,0.97625
434,0.98625
435,0.91625
437,0.9925
438,0.01375
439,0.99875
442,0.8125
446,0.895
450,0.05625
451,0.9
452,0.26125
454,0.04625
455,0.04
463,0.78875
464,0.30875
465,0.09625
467,1
468,0.10125
470,0.13375
472,0.1725
473,0.94
475,0.01875
476,0.14125
479,0.93625
481,0.01125
483,0.88
484,0.0175
486,0.83375
487,0.08
491,0.89875
494,0.58625
495,0.0125
497,0.10875
498,0.06125
499,0.825
503,0.98625
504,0.07125
505,0.08125
506,0.025
507,0.05375
508,0.9875
509,0.99
510,0.0075
511,0.1525
512,0.19
516,0.02375
518,0.9725
519,0.03625
520,0.1
521,0.1275
522,0.03375
524,0.9925
525,0.10375
526,0.14125
528,0.93875
529,0.04375
531,0.79
532,0.99875
534,0.1575
536,0.11625
539,0.34
540,0.1175
541,0.09625
542,0.99625
545,0.16875
546,0.0975
552,0.06625
556,0.035
557,0.0925
559,0.0825
562,0.03625
563,0.0625
565,0.03625
569,0.03625
570,0.68125
574,0.075
575,0.075
585,0.29375
589,0.04125
590,0.08625
592,0.93875
593,0.1075
594,0.0125
595,0.97625
597,0.0025
601,0.02125
603,0.80125
604,0.025
605,0.92875
607,0.09625
608,0.045
610,0.9575
612,0.03
613,0.47125
615,0.0175
616,0.8475
617,0.90125
619,0.67125
620,0.99875
621,0.04625
624,0.1225
625,0.0175
628,0.34875
629,0.995
630,0.98
632,0.29125
634,0.04125
637,0.7975
638,0.05
642,0.61125
643,0.01
644,0.41125
646,0.05375
655,0.465
660,0.95875
664,0.09875
665,0.85375
666,0.1175
670,0.9925
671,1
672,0.07
675,0.0625
676,0.63875
677,0.99375
678,0.0175
680,0.13875
683,0.9975
684,0.9975
685,0.94
691,0.045
693,0.03625
696,0.01375
698,0.02375
699,0.9575
700,0.12375
703,0.025
704,0.02375
705,0.175
707,1
709,0.26875
711,1
713,0.9575
716,0.09375
719,0.09625
721,0.7275
722,0.03125
723,0.06125
724,0.03
727,0.05375
728,0.7675
729,0.1325
733,0.86375
736,0.03625
739,0.48125
742,1
743,0.04375
744,0.005
745,1
747,0.02375
749,0.07375
750,0.99
751,0.08625
752,0.0125
755,0.185
756,0.0275
762,0.09375
763,0.99125
764,0.04875
765,0.54375
766,0.78625
769,0.935
770,0.31625
773,0.74625
774,0.97625
776,0.72
777,0.86625
778,0.17875
779,0.8875
780,0.08875
781,0.04125
786,0.36375
788,0.0125
794,0.91125
796,0.99875
801,0.1175
802,0.375
803,0.10125
804,0.1425
805,0.0975
809,0.39125
810,0.995
817,0.895
819,0.08625
821,0.70375
824,0.9975
825,0.00875
826,0.995
830,0.02625
831,0.01625
832,0.5875
833,0.05625
837,0.97625
839,0.045
840,0.01
841,0.8625
842,0.025
843,0.01125
844,0.2075
845,0.895
848,0.04875
853,0.1125
854,0.04
855,0.08
856,0.07
861,0.015
865,1
866,0.03125
867,0.025
870,0.03625
871,0.96375
872,0.88375
873,0.935
874,0.1225
875,0.04
876,0.045
879,0.9525
880,0.09625
883,0.82125
884,0.38
886,0.02875
890,0.0925
892,0.91
893,0.72125
894,0.41875
895,0.76
896,0.905
897,0.13875
899,0.84875
900,0.03
901,0.0125
902,1
905,0.03125
912,0.145
914,1
915,0.145
917,0.2375
918,0.1175
919,0.78375
921,0.02875
922,0.03375
923,0.01375
926,0.05875
929,0.0175
930,0.6025
931,0.83
937,0.0775
938,0.04375
939,0.115
941,0.8975
946,0.06
947,0.01
950,0.595
951,0.14125
952,0.98125
953,0.1075
954,0.04375
955,0.97875
956,1
957,0.43
960,0.96625
963,0.9975
966,0.0775
969,0.725
971,0.00875
972,0.1025
975,0.06125
980,0.02
982,0.495
983,0.10375
985,0.07375
987,0.0825
988,0.0825
991,0.64
992,0.0275
995,0.6075
996,0.1725
998,0.12875
1001,1
1002,0.71
1004,0.94
1005,0.15125
1010,0.07875
1011,0.03125
1012,0.08875
1013,0.09875
1014,0.2875
1015,0.1175
1016,0.825
1022,0.02875
1023,0.8275
1024,0.1575
1025,0.825
1026,0.99875
1028,0.1675
1029,0.01875
1032,0.995
1034,0.08875
1036,0.805
1037,0.02
1039,0.26875
1042,0.745
1045,0.99875
1046,0.025
1050,0.11125
1052,0.00375
1055,0.95875
1057,0.03375
1058,0.1225
1060,0.08125
1062,0.71
1063,0.9825
1064,0.98
1065,0.04625
1066,0.04
1067,1
1068,0.0275
1070,0.96375
1072,0.73875
1077,0.9925
1078,0.8125
1079,0.14125
1081,0.97
1082,1
1093,0.0225
1094,0.9925
1102,0.05375
1103,0.985
1106,0.2225
1107,1
1112,0.965
1113,0.145
1114,0.05125
1116,0.075
1118,0.13625
1120,0.9575
1121,0.8775
1128,0.06375
1130,0.93375
1132,0.6175
1135,0.15375
1138,0.12
1139,0.3075
1141,0.93875
1143,1
1146,0.2725
1148,1
1149,0.04375
1151,0.6975
1152,1
1153,0.5725
1155,0.02375
1157,0.2225
1160,0.01625
1161,0.0575
1162,0.38875
1164,1
1168,0.0575
1169,0.35875
1174,0.9525
1176,0.0175
1177,0.99625
1178,0.69
1180,0.1475
1181,0.255
1182,0.1925
1185,0.80625
1190,0.04
1194,0.1
1196,0.0975
1199,0.77125
1200,0.56625
1201,0.13875
1202,0.05625
1206,0.9925
1207,0.09125
1208,0.05375
1212,0.065
1216,0.04375
1219,1
1221,0.6575
1222,0.09625
1225,0.72
1227,0.76
1230,0.0275
1231,0.97625
